MAT,2015-01-30,0.52,0.9125,-43.01%
RCL,2015-01-29,0.32,0.4176,-23.37%
TAP,2015-02-10,0.55,0.7033,-21.80%
VRTX,2015-01-28,-0.55,-0.4621,19.02%
WYNN,2015-02-03,1.2,1.4177,-15.36%
EXPE,2015-02-05,0.86,1.0152,-15.29%
THC,2015-02-23,1.03,1.1763,-12.44%
K,2015-02-12,0.84,0.924,-9.09%
LEG,2015-01-29,0.41,0.4467,-8.22%
YUM,2015-02-04,0.61,0.662,-7.85%
MCD,2015-01-23,1.13,1.22,-7.38%
PDCO,2015-02-19,0.55,0.5938,-7.38%
AAP,2015-02-12,1.37,1.471,-6.87%
PG,2015-01-27,1.06,1.1343,-6.55%
HUM,2015-02-04,1.09,1.1615,-6.16%
TRIP,2015-02-11,0.35,0.3675,-4.76%
DISCA,2015-02-19,0.43,0.4467,-3.74%
RL,2015-02-04,2.41,2.5005,-3.62%
PM,2015-02-05,1.03,1.0618,-2.99%
FOSL,2015-02-17,3,3.0713,-2.32%
GRMN,2015-02-18,0.77,0.788,-2.28%
HSY,2015-01-29,1.04,1.0639,-2.25%
IPG,2015-02-13,0.57,0.579,-1.55%
PRGO,2015-02-05,1.74,1.7643,-1.38%
XRAY,2015-02-18,0.6,0.608,-1.32%
CMCSA,2015-02-24,0.77,0.779,-1.16%
KMB,2015-01-13,1.35,1.3642,-1.04%
SBUX,2015-01-23,0.4,0.4041,-1.01%
REGN,2015-02-10,2.79,2.8159,-0.92%
ANTM,2015-01-28,1.73,1.7443,-0.82%
MO,2015-01-30,0.66,0.6644,-0.66%
GME,2015-03-26,2.15,2.1637,-0.63%
VFC,2015-02-13,0.98,0.984,-0.41%
AET,2015-02-03,1.22,1.2245,-0.37%
BBBY,2015-01-08,1.19,1.1938,-0.32%
RAI,2015-02-10,0.435,0.4363,-0.30%
BWA,2015-02-12,0.75,0.752,-0.27%
SYK,2015-01-27,1.44,1.442,-0.14%
DPS,2015-02-12,0.88,0.8811,-0.12%
DG,2015-03-12,1.17,1.1712,-0.10%
MYL,2015-03-12,1.05,1.05,0.00%
AGN,2015-02-18,3.91,3.906,0.10%
CELG,2015-01-29,1.01,1.0073,0.27%
STJ,2015-01-29,1.03,1.027,0.29%
ZBH,2015-01-29,1.71,1.7048,0.31%
VIAB,2015-01-29,1.29,1.2854,0.36%
GPC,2015-02-17,1.07,1.065,0.47%
SYY,2015-02-02,0.41,0.408,0.49%
CVS,2015-02-10,1.21,1.203,0.58%
CERN,2015-02-10,0.47,0.467,0.64%
BF/B,2015-03-04,0.87,0.8643,0.66%
ESRX,2015-02-23,1.39,1.3809,0.66%
SIG,2015-03-26,3.06,3.0377,0.73%
TIF,2015-03-20,1.51,1.497,0.87%
LH,2015-02-20,1.65,1.6341,0.97%
ALXN,2015-01-29,1.3,1.2873,0.99%
MKC,2015-03-24,0.7,0.638,9.72%
ILMN,2015-01-27,0.87,0.7922,9.82%
GILD,2015-02-03,2.43,2.2117,9.87%
WHR,2015-02-04,3.52,3.1857,10.49%
VAR,2015-01-28,0.99,0.8957,10.53%
MCK,2015-02-05,2.89,2.61,10.73%
KORS,2015-02-05,1.48,1.3324,11.08%
EW,2015-02-03,1.06,0.95,11.58%
LEN,2015-03-19,0.5,0.4475,11.73%
HD,2015-02-24,1,0.892,12.11%
ZTS,2015-02-11,0.4,0.357,12.04%
ISRG,2015-01-22,4.92,4.3467,13.19%
AN,2015-02-03,1.03,0.9091,13.30%
DHI,2015-01-26,0.39,0.3438,13.44%
CAG,2015-03-26,0.59,0.52,13.46%
BMY,2015-01-27,0.46,0.4041,13.83%
KR,2015-03-05,0.52,0.4528,14.84%
F,2015-01-29,0.26,0.2244,15.86%
MNK,2015-02-03,1.84,1.5836,16.19%
ABC,2015-01-28,1.14,0.9706,17.45%
DRI,2015-03-20,0.99,0.8396,17.91%
DIS,2015-02-03,1.27,1.0684,18.87%
HRB,2015-03-04,-0.13,-0.1657,-21.54%
FOXA,2015-02-04,0.53,0.4154,27.59%
HOT,2015-02-10,0.97,0.7548,28.51%
HAR,2015-01-29,1.79,1.2911,38.64%
GM,2015-02-04,1.19,0.8219,44.79%
NFLX,2015-01-20,0.1029,0.0634,62.30%
CCL,2015-03-27,0.2,0.0936,113.68%
AMZN,2015-01-29,0.45,0.1833,145.50%