PNW,2015-02-20,0.05,0.175,-71.35%
KMI,2015-01-21,0.1473,0.33,-55.36%
CHK,2015-02-25,0.11,0.245,-55.10%
APC,2015-02-02,0.37,0.8172,-54.73%
WMB,2015-02-18,0.16,0.2355,-32.05%
FCX,2015-01-27,0.25,0.3519,-28.96%
DVN,2015-02-17,0.83,1.049,-20.90%
EOG,2015-02-18,0.79,0.9908,-20.27%
NFX,2015-02-24,0.38,0.447,-15.00%
PXD,2015-02-10,0.8,0.925,-13.53%
CAT,2015-01-27,1.35,1.5477,-12.78%
HES,2015-01-28,0.18,0.1989,-9.52%
SWK,2015-01-29,1.37,1.4986,-8.58%
FTI,2015-02-10,0.72,0.785,-8.22%
ETR,2015-02-05,0.75,0.8093,-7.33%
CF,2015-02-17,0.9548,1.0167,-6.09%
TSO,2015-02-11,1.46,1.528,-4.47%
COL,2015-01-23,1.1,1.1447,-3.91%
EXC,2015-02-13,0.48,0.499,-3.87%
AEP,2015-01-28,0.48,0.4992,-3.85%
CMS,2015-01-29,0.35,0.3592,-2.55%
DUK,2015-02-18,0.86,0.8792,-2.18%
UAL,2015-01-22,1.2,1.2228,-1.86%
NI,2015-02-18,0.51,0.518,-1.54%
JEC,2015-01-28,0.77,0.7805,-1.34%
BLL,2015-02-05,0.84,0.8507,-1.26%
WEC,2015-02-11,0.56,0.567,-1.18%
GWW,2015-01-26,2.8,2.8305,-1.08%
MON,2015-04-01,2.9,2.9311,-1.06%
SO,2015-02-04,0.38,0.3838,-1.00%
SCG,2015-02-19,0.73,0.737,-0.97%
LLL,2015-01-29,2.27,2.2911,-0.92%
PWR,2015-02-19,0.51,0.5136,-0.71%
ARG,2015-02-03,1.23,1.2344,-0.35%
DNB,2015-02-09,2.61,2.6156,-0.21%
UTX,2015-01-26,1.62,1.622,-0.12%
CSX,2015-01-13,0.49,0.4904,-0.08%
SHW,2015-01-29,1.37,1.3711,-0.08%
TYC,2015-01-30,0.49,0.49,0.00%
ECL,2015-02-24,1.2,1.2,0.00%
UPS,2015-02-03,1.25,1.2496,0.03%
NSC,2015-01-26,1.64,1.6377,0.14%
SRCL,2015-02-05,1.12,1.1181,0.17%
PX,2015-01-28,1.57,1.5655,0.29%
DD,2015-01-27,0.71,0.7069,0.44%
PCG,2015-02-10,0.53,0.5275,0.47%
AAL,2015-01-27,1.52,1.5121,0.52%
R,2015-02-03,1.6,1.5913,0.54%
MMM,2015-01-27,1.81,1.7975,0.70%
EFX,2015-02-11,1.02,1.013,0.74%
PBI,2015-02-02,0.51,0.505,0.99%
HON,2015-01-23,1.43,1.4159,1.00%
FAST,2015-01-15,0.4,0.3957,1.08%
D,2015-02-06,0.84,0.83,1.20%
PCAR,2015-01-30,1.11,1.0948,1.39%
DAL,2015-01-20,0.78,0.7689,1.45%
VMC,2015-02-05,0.31,0.2693,15.10%
PSX,2015-01-29,1.63,1.4069,15.86%
IR,2015-01-30,0.82,0.7047,16.36%
XOM,2015-02-02,1.56,1.3395,16.46%
NUE,2015-01-27,0.6567,0.5563,18.06%
PH,2015-01-27,1.84,1.5481,18.85%
MLM,2015-02-10,0.99,0.821,20.52%
MAS,2015-02-09,0.24,0.199,20.60%
DOW,2015-01-29,0.85,0.695,22.30%
ESV,2015-02-25,1.68,1.367,22.94%
SEE,2015-02-10,0.59,0.4736,24.57%
CNX,2015-01-30,0.25,0.1981,26.21%
RIG,2015-02-25,0.95,0.7482,26.97%
FLR,2015-02-18,1.41,1.102,27.98%
OKE,2015-02-23,0.45,0.3482,29.24%
EIX,2015-02-24,1.08,0.8343,29.45%
AEE,2015-02-25,0.19,0.143,33.33%
BHI,2015-01-20,1.44,1.0714,34.41%
DE,2015-02-20,1.12,0.8257,35.64%
VLO,2015-01-29,1.83,1.3283,37.77%
RRC,2015-02-24,0.39,0.2823,38.18%
CNP,2015-02-26,0.36,0.2586,39.23%
APA,2015-02-12,1.07,0.757,41.35%
NEM,2015-02-19,0.17,0.1183,43.66%
SE,2015-02-04,0.47,0.3217,46.11%
MUR,2015-01-28,0.39,0.2547,53.12%
EQT,2015-02-05,0.96,0.6122,56.81%
MPC,2015-02-04,1.43,0.69,107.25%